ASIN,BBR,offer_changed_notification_id
1616595965,0.33119694533762056,227603334.0
7300019196,0.0,227607323.0
B00000IS6G,0.0,227366981.0
B00000IV4A,0.06160074165636588,227609724.0
B00000IVFX,0.1844624975417896,227437651.0
B00000K1VS,0.0,227463714.0
B00002262M,0.10391165444172779,227614523.0
B00002N5ZB,0.0010027513756878438,227610354.0
B00002N66A,0.0933286438308284,227605460.0
B00003008E,0.0,227600285.0
B00004R9LO,0.17356761998685077,227532289.0
B00004RDF3,0.00552008281573499,227609610.0
B00004SQ20,0.6941778317152103,227584661.0
B00004SQ23,0.0007617792421746293,227614254.0
B00004T9KV,0.3659166666666666,227610664.0
B00004T9KW,0.34028380761523047,227608099.0
B00004T9KX,0.12547837837837839,227572781.0
B00004TFT1,0.0,227600757.0
B00004WCI0,0.00660559348161198,227599741.0
B00004XPVF,0.0,227612771.0
B00004XPVO,0.7029555260537671,227611764.0
B00004YTPE,0.0,227614144.0
B000051ZHS,0.0738500463269358,227611944.0
B000058TJ3,0.04659791384448659,227608445.0
B00005A3GW,0.03844221946683199,227600676.0
B00005BKZ5,0.0,227485568.0
B00005C9RR,0.0,227614497.0
B00005K3ZR,0.0,227614888.0
B00005O6B7,0.48005234741784036,227573655.0
B000068XMN,0.0,227596351.0
B000069CEJ,0.564638783269962,227613966.0
B00006AGPZ,0.05115825581395349,227490054.0
B00006WNLQ,0.09158105263157894,227610966.0
B00009XO8U,0.11767832800851971,227439277.0
B0000AQJQR,0.9309138195777351,227611602.0
B0000AQQX3,0.24629554455445543,227614902.0
B0000AS7W2,0.8129778380823156,227479247.0
B0000AUB58,0.3209050803858521,227610116.0
B0000AWYM3,0.4918226032735775,227613842.0
B0000AX71O,0.011363502673796792,227579951.0
B0000AX71S,0.017424136797106214,227566940.0
B0000AX728,0.0,227612642.0
B0000AXY5Y,0.0,227599064.0
B0000AYGIX,0.0,227610132.0
B0000BYEA3,0.0,227610513.0
B0000DDVG5,0.0,227573977.0
B0000DDXCV,0.09044076433121019,227540610.0
B0000DI83E,0.00350385288966725,227604253.0
B0000DI83F,0.39220162513542794,227452939.0
B0000DI83G,0.10614892307692309,227561704.0
